estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
23.87230968,90.39646268,893cf105823ffff,23.87230968,90.39646268,893cf105823ffff
27.662556,85.41688431,893c028b14bffff,27.662556,85.41688431,893c028b14bffff
23.7504746,90.43905951,893cf13928fffff,23.7505119,90.439062,893cf13928fffff
23.79444107,90.36202613,893cf10eb4bffff,23.7944398,90.3620243,893cf10eb4bffff
27.72878022,85.30930024,893c0299573ffff,27.72878022,85.30930024,893c0299573ffff
27.72859177,85.30905817,893c0299573ffff,27.72859177,85.30905817,893c0299573ffff
27.68415127,85.33510208,893c02d6d03ffff,27.6833,85.3367,893c02d6d03ffff
27.68725555,85.2818542,893c02d6537ffff,27.68695154,85.2825737,893c02d6537ffff
27.68217245,85.33932891,893c02d6d0fffff,27.68217245,85.33932891,893c02d6d0fffff
27.6664573,85.47787674,893c0288027ffff,27.6664573,85.47787674,893c0288027ffff
27.69106483,85.31098165,893c029935bffff,27.69106483,85.31098165,893c029935bffff
27.70263435,85.32018866,893c0299317ffff,27.7025622,85.3200978,893c0299317ffff
27.71872716,85.30410849,893c02990a3ffff,27.7189907,85.3045088,893c02990a3ffff
27.67722005,85.46701077,893c028854fffff,27.67722005,85.46701077,893c028854fffff
27.67104111,85.48019249,893c02881cfffff,27.67104111,85.48019249,893c02881cfffff
27.63014589,85.36617782,893c02d4d47ffff,27.63014589,85.36617782,893c02d4d47ffff
27.73099442,85.29250223,893c02995dbffff,27.73099436,85.29250235,893c02995dbffff
27.68861439,85.33138856,893c02d6d8bffff,27.68886563,85.3314969,893c02d6d8bffff
27.69102505,85.31109866,893c029935bffff,27.69102505,85.31109866,893c029935bffff
27.70179279,84.41915989,893c0659c4fffff,27.70181951,84.41939358,893c0659c4fffff
27.63916666,83.4853049,893c3356d77ffff,27.63863024,83.48753046,893c3356d77ffff
27.71931987,85.37590016,893c02999dbffff,27.71891296,85.37717789,893c02999dbffff
27.6945175,85.3031528,893c0299237ffff,27.69411945,85.3040129,893c0299237ffff
27.66281791,85.34013424,893c02d6823ffff,27.66466375,85.34104519,893c02d6823ffff
27.7145,85.20519,893c066ce97ffff,27.712668,85.2057489,893c066ce97ffff
27.71924983,85.30182861,893c02990bbffff,27.71924983,85.30182861,893c02990bbffff
27.68568086,85.34469299,893c02d6d33ffff,27.6860297,85.3447473,893c02d6d33ffff
27.72837483,85.32558024,893c02991b3ffff,27.72837483,85.32558024,893c02991b3ffff
27.76560442,85.30366324,893c029b12bffff,27.76560442,85.30366324,893c029b12bffff
27.71842591,85.33743091,893c029912fffff,27.7165973,85.3357592,893c029912fffff
27.71945225,85.3205853,893c029911bffff,27.71954493,85.32201361,893c029911bffff
27.75002472,85.30199323,893c02986cbffff,27.75042321,85.30246697,893c02986cbffff
27.70209172,85.31252995,893c029938bffff,27.7031428,85.3130288,893c029938bffff
27.69607479,85.36620531,893c0299aabffff,27.69661,85.36625,893c0299aabffff
27.6877849,85.34748182,893c02d6d37ffff,27.6877849,85.34748182,893c02d6d37ffff
23.77994105,90.40548697,893cf10c9bbffff,23.78031781,90.40550206,893cf10c9bbffff
23.7504746,90.43905951,893cf13928fffff,23.7505119,90.439062,893cf13928fffff
22.36146989,91.81193009,893cc21aeb7ffff,22.36147,91.81193,893cc21aeb7ffff
27.72459208,85.3000265,893c029954bffff,27.72438366,85.2997707,893c029954bffff
27.73938726,85.37147786,893c0299d8fffff,27.73985431,85.37212571,893c0299d8fffff
23.66402621,90.48647493,893cf174eb3ffff,23.66372887,90.48642732,893cf174eb3ffff
